Year,Scenario,EU cell demand,Undetermined relocation (EU or FTA),Non-EU,,,
2027,No IAA,230,0,197,,,
2027,"IAA, EU+FTA scope for private",276,14,137,,,
2027,"IAA, strict EU scope for private",290,0,137,,,
2030,No IAA,437,0,373,,,
2030,"IAA, EU+FTA scope for private",523,27,260,,,
2030,"IAA, strict EU scope for private",550,0,260,,,
