Since the outbreak	By the end of 2026	Country
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>9.5</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>26</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	EU
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>1.6</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>4.4</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	Germany
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>1.5</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>4.1</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	France
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>1.6</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>4.4</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	Italy
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>1.5</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>4.2</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	Spain
<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>1</b><p style=font-size:0.6em>Since the outbreak*</p></div>	<div style=display:flex;align-items:center;flex-direction:column;><p style=font-size:0.5em;align-items:center;flex-direction:column;margin:0;>Billion €</p><b style=font-size:2em>2.8</b><p style=font-size:0.6em;line-height:100%;>By the end of 2026 <br>(Extrapolation)</p></div>	Poland
